event_id,duration,num_scans,scans_per_second,min_distance,max_distance,mean_distance,std_distance,max_intrusion,mean_intrusion,intrusion_std,intrusion_ratio,temporal_variation,spatial_spread,label
flower_1_20260226030506208282,2.4668800830841064,37,14.998702309737896,0.307,0.359,0.3386283783783784,0.013751576486201705,0.04299999999999998,0.011371621621621603,0.013751576486201705,0.12285714285714282,0.004649380791217437,4,bee
flower_1_20260226030513408129,2.1998560428619385,33,15.000981590171744,0.308,0.356,0.3366136363636364,0.012922344531958471,0.04199999999999998,0.013386363636363608,0.012922344531958471,0.11999999999999995,0.004571946944534281,4,bee
flower_1_20260226030518942171,2.2668211460113525,34,14.998977779886003,0.286,0.355,0.3282205882352941,0.021369653518559163,0.064,0.021779411764705867,0.021369653518559163,0.18285714285714288,0.012775711553729587,4,bee
flower_1_20260226030526077731,1.402998924255371,21,14.967937349735003,0.307,0.358,0.3348809523809524,0.012650448596174445,0.04299999999999998,0.015119047619047591,0.012650448596174445,0.12285714285714282,0.008690375080951275,4,bee
flower_1_20260226030538275009,0.7336111068725586,11,14.994320419839141,0.309,0.354,0.3423181818181818,0.01016554309344945,0.04099999999999998,0.007681818181818165,0.01016554309344945,0.11714285714285709,0.004764570952733967,4,bee
flower_1_20260226030610008178,1.9997990131378174,30,15.00150755296554,0.308,0.352,0.33138333333333336,0.013704678299139789,0.04199999999999998,0.018616666666666642,0.013704678299139789,0.11999999999999995,0.010310635062996787,4,bee
flower_1_20260226030617341017,2.533492088317871,38,14.999060062283577,0.304,0.354,0.327,0.013563683494308426,0.045999999999999985,0.022999999999999972,0.013563683494308426,0.1314285714285714,0.011069497901159915,4,bee
flower_1_20260226030628807388,1.5329251289367676,23,15.003994367260933,0.29,0.355,0.3354021739130435,0.018502188633595706,0.06,0.014597826086956506,0.018502188633595706,0.17142857142857143,0.008244743204844763,4,bee
flower_1_20260226030635874458,1.2672619819641113,19,14.992953525325655,0.29,0.36,0.3378157894736842,0.018096563597409528,0.06,0.012184210526315773,0.018096563597409528,0.17142857142857143,0.008056588963760917,4,bee
flower_1_20260226030643874085,2.000270128250122,30,14.997974311721899,0.299,0.358,0.33675,0.014208678848571694,0.05099999999999999,0.013249999999999977,0.014208678848571694,0.14571428571428569,0.005434563713732745,4,bee
flower_1_20260226030700007701,2.0666050910949707,31,15.000446932788185,0.303,0.36,0.3298548387096774,0.015977470697593938,0.046999999999999986,0.02014516129032256,0.015977470697593938,0.13428571428571426,0.012629458650569766,4,bee
flower_1_20260226030725140940,1.2008099555969238,18,14.989882384054837,0.309,0.353,0.33561111111111114,0.012874864206099748,0.04099999999999998,0.014388888888888863,0.012874864206099748,0.11714285714285709,0.0038436561774510265,4,bee
flower_1_20260226030733740387,2.666515827178955,40,15.000848520114754,0.297,0.352,0.32545,0.01434954473013915,0.05299999999999999,0.02454999999999997,0.01434954473013915,0.1514285714285714,0.01116329838216424,4,bee
flower_1_20260226030741606933,2.4004359245300293,36,14.997275966467749,0.298,0.359,0.326375,0.01573107698845769,0.05199999999999999,0.02362499999999998,0.01573107698845769,0.14857142857142855,0.012504784798513835,4,bee
flower_1_20260226030747407076,1.2003846168518066,18,14.995193829797461,0.292,0.357,0.3300138888888889,0.017506934686812692,0.057999999999999996,0.01998611111111109,0.017506934686812692,0.1657142857142857,0.013839009289128144,4,bee
flower_1_20260226030755406336,2.0664618015289307,31,15.001487071797682,0.299,0.359,0.3284435483870968,0.015268492676338279,0.05099999999999999,0.0215564516129032,0.015268492676338279,0.14571428571428569,0.011987964394449142,4,bee
flower_1_20260226030804806263,1.733370065689087,26,14.999682130580647,0.293,0.354,0.31785576923076925,0.01782515854270144,0.056999999999999995,0.03214423076923075,0.01782515854270144,0.16285714285714287,0.01694670662354828,4,bee
flower_1_20260226030815606275,0.7996909618377686,12,15.005796704795586,0.308,0.355,0.33491666666666664,0.013298269497615298,0.04199999999999998,0.015083333333333311,0.013298269497615298,0.11999999999999995,0.012205779803276,4,bee
flower_1_20260226030822073955,2.0001142024993896,30,14.999143530160076,0.29,0.358,0.32364166666666666,0.014735651521745085,0.06,0.026358333333333307,0.014735651521745085,0.17142857142857143,0.01088333179313855,4,bee
